	Sample_14456	Sample_18636	Sample_18637	Sample_20028	Sample_22793	Sample_25572	Sample_25573	Sample_26984	Sample_26985	Sample_501
A1BG-AS1	4.55771288202422	4.59247684766778	4.45695202482753	4.69024237066352	4.7356762238365	4.45159586238703	4.62883583926332	4.55284125486022	4.46797347295086	4.63047354893965
A1CF	4.26397354370518	4.28820120223592	4.25570675733643	4.21475618883449	4.56276135971885	4.45034136122864	4.21980456891033	4.26055516524433	4.20093595762762	4.49847636207837
A2M	5.15119639877548	4.98192407518938	4.64897335634141	4.66360398992676	4.70141348506414	4.84084531847726	4.8729666211191	4.83540714829175	5.20073707308485	4.84772538483925
A2M-AS1	5.96497166035013	5.51280845656222	5.74455812162059	5.57802615946937	5.78040925132865	5.32104136351267	5.62612920393607	5.83092748672153	4.94526515876672	5.30798249957277
A2ML1	4.04332257941639	4.01609700735319	3.86403046810656	3.96252171096027	4.05111332880763	3.91038876854936	3.94709703069037	3.9269535298212	4.09374377799257	3.89754721387928
A4GALT	5.0627133459892	4.85663063380493	5.03840717008384	4.80855331768022	5.03715902477319	4.93155324910959	5.08186389693265	4.79100980700863	5.1001965708751	5.12676143728452
A4GNT	4.10547222183617	4.25175234554436	4.1574851847043	4.1894103351895	4.2708021409255	4.3377052073414	4.30937963092921	4.22828553660053	4.06355191014224	4.21567613600062
AA06	4.54991959428457	4.30964703427744	4.36818340092031	4.66323528109186	4.65895726659082	4.65216566511	4.59544091923873	4.4707824599236	4.59743568971007	4.53825551027292
AAAS	6.86956150156112	7.02651570842587	6.80215651810474	6.69996881221466	7.11381175536296	6.8783574854273	7.04773411480538	6.65598922981543	6.62611506535274	6.70372581970922
AACSP1	3.39639730864474	3.41491338332125	3.44737634185599	3.38146890042853	3.40616233484152	3.41526414432391	3.53077354440765	3.3311331909772	3.43230832214901	3.28851624863228
AADAC	4.22794490660731	4.1895366626301	4.20093378830549	4.4415202979551	3.9407840021194	4.40521401884244	4.37247497885244	4.28229844257144	4.29711751883449	4.22584684746323
AADACL2	3.14653452412321	2.99860840607962	3.20837463990684	3.07199449482304	3.11806865585305	3.17056756889312	3.11865798233529	3.12525765207588	3.10426716831412	3.0936915896453
AADACP1	3.64916211751341	3.52941533471845	3.78336512953299	3.53983248548488	3.78318516216246	4.03597253307171	3.79569506520948	3.89421079677531	3.73489034292362	3.75946650909353
AADAT	5.36007880348788	5.24243843077156	5.17767335923439	5.10422268918416	5.51015034948224	5.36492747786298	5.52238382106163	5.30776543764139	5.24405953089234	5.32157801437801
AAED1	7.00528031829082	6.6677614385329	6.98773824941672	7.5819796507733	7.22330847490633	7.09375492620228	7.49203809507108	7.16587670899704	6.5931218634628	7.5234687422667
AAGAB	6.97980063053235	6.9885688196685	7.23952792183658	7.22731268585608	7.04163095234501	7.12263979264899	7.17774685996448	7.02943110615221	6.99097843137378	7.06110042524662
AAK1	6.57825197612099	6.41851329595523	6.6969327710131	6.64080744415597	7.04815580933537	6.55460047028526	6.80604142584301	6.81464298109517	6.59526924741302	6.65800897516799
AAMDC	6.34820604999548	6.2870470588281	6.20971379411138	6.79391547054534	6.30309709715791	6.46169153345113	6.32582424825025	6.5715309753846	6.37357808184931	6.48737435155259
AAMP	8.34126366526503	8.4211507181842	8.47384534951385	8.512794958014	8.46870494052187	8.23098364539367	8.43970950462425	8.51648354015098	8.42155437330157	8.48488535046035
AANAT	3.79871689413838	3.56565787835794	3.55264907809359	3.40956488128175	3.61277175203517	3.52757597322625	3.51851340632231	3.59241467431891	3.86770226254126	3.65051168827552
AAR2	7.67981520572783	7.93640023625167	7.76783116779364	7.89097243937051	7.612388124736	7.64566362144316	7.68268892372929	7.80686391894752	7.81199322477552	7.52195407609357
AARS	8.242272173163	8.51277553815738	8.4585104548804	8.39541577674068	8.30017968616434	8.44444859068044	8.40394143016603	8.62044100815377	8.08143824299495	8.11056713417271
