VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
450	7	35	19	25	11	3	5	3	3	7	9	7	5	7	5	1	1	61	25	22.6	26.3	76	96	15.8	7	19	8	3	10	145
687	7	36	19	25	9	3	5	3	5	7	7	7	5	5	5	1	2	60	20	23.5	28.9	86	127	17.6	7	20	8	3	10	185
688	7	36	19	28	17	3	5	3	5	7	7	7	5	5	5	1	2	58	20	17.2	20.9	52	71	12.3	7	20	9	3	10	170
689	7	40	15	26	13	3	5	3	5	7	9	5	5	5	5	1	2	60	27	23.7	16.6	49	57	11.1	7	22	10	3	11	195
690	7	34	20	26	11	3	5	3	5	7	5	9	3	7	7	1	2	51	25	6.5	13.7	38	39	6.7	7	18	9	3	10	150
692	7	35	21	28	19	3	5	3	5	7	5	9	5	7	7	2	2	55	20	11	27.3	80	95	11.8	7	17	9	3	14	125
693	7	36	20	28	19	3	7	3	3	7	5	9	3	7	7	1	2	56	20	14.5	15.3	54	77	11.2	7	19	8	3	10	135
694	7	33	22	27	18	3	5	3	3	7	5	7	3	5	5	1	2	53	20	10.4	11.3	44	63	8	7	19	8	3	10	135
695	7	40	15	27	18	3	7	3	5	7	5	7	3	5	5	1	2	73	30	19.4	12.4	30	43	6.6	7	25	11	3	10	175
726	8	36	18	25	11	3	7	3	5	7	5	9	5	7	7	1	2	51	17	7.9	30.3	66	131	20.6	7	20	9	3	14	165
727	7	36	18	30	19	3	7	3	5	7	5	9	5	7	7	1	2	55	19	10.6	14.6	54	68	9.3	7	18	8	3	11	190
728	8	33	20	28	14	3	7	3	5	7	7	7	5	5	5	1	2	45	13	8	28.3	103	147	17.1	7	19	8	3	11	140
729	8	34	18	29	14	3	7	3	5	7	5	9	5	5	5	1	2	45	13	11	25.4	103	119	14.4	7	18	8	3	11	120
730	7	34	20	28	14	3	7	3	5	7	5	5	3	1	5	1	1	50	27	4.5	6.1	21	35	3.5	7	20	8	3	13	140
731	7	35	20	27	14	3	7	3	5	7	5	9	5	5	5	1	1	45	21	8.6	12.6	48	51	6.5	7	17	8	3	12	160
733	7	40	16	28	19	3	5	3	5	7	7	7	5	1	5	1	1	60	19	14.6	14.2	56	55	8.2	7	19	10	3	14	155
734	7	35	20	25	13	3	5	3	5	7	5	9	3	7	7	2	1	50	22	8.5	11	77	75	11.3	7	20	8	3	12	150
744	8	35	18	26	14	3	5	5	3	7	7	9	3	7	7	1	1	50	13	8.3	28.5	111	148	19.2	7	18	7	3	10	125
745	8	32	21	22	14	3	5	5	5	7	5	9	3	7	7	2	2	55	22	9	9.3	41	40	6.3	7	19	10	3	12	190
746	8	47	10	25	18	3	5	5	3	7	5	9	3	7	7	1	1	50	19	18.1	22.3	101	87	10	7	18	9	3	11	150
747	7	34	20	24	12	3	7	5	3	7	5	7	5	7	5	1	1	40	17	4.6	4.9	30	29	3.9	7	17	7	3	10	110
748	7	34	19	26	13	3	7	5	5	7	5	5	3	5	5	1	1	50	25	7.5	14.4	47	62	7.9	7	20	10	3	12	140
749	7	36	18	25	13	3	7	5	5	7	7	7	5	5	5	1	2	53	27	6.1	12.7	49	55	8.8	7	20	10	3	10	170
754	7	39	22	21	15	3	5	5	5	7	7	7	5	5	5	2	2	55	27	8.7	9.3	38	54	9.3	7	20	8	3	10	170
756	7	36	18	26	13	3	5	5	5	7	7	9	5	7	7	1	1	56	26	9.4	14.9	60	69	10.2	7	18	8	3	13	165
757	7	33	21	23	13	3	7	5	5	7	5	9	5	7	7	1	1	56	25	3.6	6.8	26	28	3.5	7	19	9	3	13	110
758	7	37	17	23	12	3	7	5	5	7	5	7	5	7	7	1	1	66	39	10.8	13.2	52	62	9.1	7	20	10	3	13	175
760	7	38	16	22	12	3	7	5	5	7	5	7	5	7	7	1	1	60	32	7	4	29	30	4.4	7	20	9	3	10	160
761	7	36	18	17	16	3	7	5	5	7	9	7	5	7	7	1	1	50	27	6.2	7.2	37	31	5.7	7	19	9	3	10	190
762	8	37	18	26	13	3	5	3	3	7	5	7	5	7	7	2	2	50	20	8.4	12.8	56	76	9.4	7	20	8	3	10	150
763	8	35	18	22	12	3	5	5	3	7	9	9	5	7	7	1	2	53	23	9.8	17.7	82	51	12.1	7	19	8	3	10	140
764	8	33	19	26	13	3	5	3	5	7	7	9	3	7	5	1	2	60	23	9.6	19	78	98	13.2	7	20	10	3	10	140
766	7	36	17	22	7	3	5	3	3	7	5	3	3	1	5	2	1	55	29	7.1	8.2	46	42	4.6	7	18	8	3	10	155
767	7	36	17	22	7	3	5	5	5	7	7	3	3	1	5	1	1	56	27	9.7	23.5	92	116	14.7	7	20	9	3	10	155
768	8	33	19	22	7	3	7	3	5	7	5	9	7	7	7	2	1	48	20	8.7	15.8	71	118	12.5	7	19	8	3	14	145
769	7	35	19	20	7	3	7	3	3	7	7	9	3	7	5	1	2	40	20	6.9	4.8	27	28	3.6	7	18	8	3	10	150
771	7	35	19	22	10	3	7	3	3	7	7	9	5	7	5	1	2	53	21	17.6	7.1	124	170	29.6	7	19	9	3	10	190
772	7	33	21	22	10	3	7	3	5	7	7	9	3	7	5	2	1	46	20	6.8	13.9	55	65	9	7	17	9	3	13	175
890	7	34	20	23	8	3	7	3	5	7	9	3	3	1	5	2	1	54	23	6.5	13.5	53	75	9.4	7	19	9	3	13	140
1029	7	36	17	25	10	3	7	3	5	7	7	9	5	7	7	1	1	50	20	5.9	9.2	40	43	5	7	18	9	3	13	140
1210	8	33	20	23	7	3	7	3	5	7	7	9	3	7	5	1	1	53	22	4.8	10.7	36	47	5.7	7	20	10	3	10	165
1211	8	33	19	24	8	3	7	5	5	7	9	9	3	7	5	2	1	48	24	4.1	9	32	41	4.7	7	18	8	3	13	140
1404	8	34	19	24	11	3	7	5	5	7	9	5	3	1	5	2	1	55	25	16.4	29.2	94	102	16.1	7	20	10	3	10	165
1405	7	34	20	23	11	3	7	5	5	7	9	3	3	1	5	2	1	50	22	5.5	7.2	49	52	5.6	7	19	9	3	10	135
1406	8	35	18	23	11	3	7	3	3	7	7	9	3	7	7	1	1	60	20	10.9	35.1	137	168	20	7	22	10	3	10	150
1411	7	34	19	23	10	3	7	5	3	7	7	7	3	7	7	1	1	55	20	11	13.8	70	58	5.9	7	21	10	3	13	150
1412	7	35	19	23	11	3	5	5	3	7	9	9	5	7	7	1	1	53	21	7.4	19.1	88	96	12.1	7	20	8	3	10	160
1413	8	33	20	23	8	3	7	5	3	7	7	9	3	7	7	1	2	55	19	6.9	16.2	68	80	11.7	7	20	9	3	10	180
