       y1     y2     y3     y4     y5     y6     y7     y8   x1   x2   x3   x4
y1  0.962  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
y2  0.000  1.233  0.000  0.000  0.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
y3  0.000  0.000  0.973  0.000  0.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
y4  0.000  0.000  0.000  0.457  0.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
y5  0.000  0.000  0.000  0.000  0.765  0.000  0.000  0.000  0.0  0.0  0.0  0.0
y6  0.000  0.000  0.000  0.000  0.000  7.527  0.000  0.000  0.0  0.0  0.0  0.0
y7  0.000  0.000  0.000  0.000  0.000  0.000  0.971  0.000  0.0  0.0  0.0  0.0
y8  0.000  0.000  0.000  0.000  0.000  0.000  0.000  3.201  0.0  0.0  0.0  0.0
x1  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
x2  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
x3  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
x4  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
