     eta1   eta2   eta3   eta4   x1   x2   x3   x4
y1  1.000  0.000  0.000  0.000  0.0  0.0  0.0  0.0
y2  4.462  0.000  0.000  0.000  0.0  0.0  0.0  0.0
y3  0.000  1.000  0.000  0.000  0.0  0.0  0.0  0.0
y4  0.000  4.438  0.000  0.000  0.0  0.0  0.0  0.0
y5  0.000  0.000  1.000  0.000  0.0  0.0  0.0  0.0
y6  0.000  0.000  9.055  0.000  0.0  0.0  0.0  0.0
y7  0.000  0.000  1.670  0.000  0.0  0.0  0.0  0.0
y8  0.000  0.000  0.000  1.000  0.0  0.0  0.0  0.0
y9  0.000  0.000  0.000  7.196  0.0  0.0  0.0  0.0
x1  0.000  0.000  0.000  0.000  1.0  0.0  0.0  0.0
x2  0.000  0.000  0.000  0.000  0.0  1.0  0.0  0.0
x3  0.000  0.000  0.000  0.000  0.0  0.0  1.0  0.0
x4  0.000  0.000  0.000  0.000  0.0  0.0  0.0  1.0
