       y1     y2     y3     y4     y5        y6      y7     y8       y9   x1   x2   x3   x4
y1  0.961  0.000  0.000  0.000  0.000     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
y2  0.000  6.115  0.000  0.000  0.000     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
y3  0.000  0.000  1.028  0.000  0.000     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
y4  0.000  0.000  0.000  6.493  0.000     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
y5  0.000  0.000  0.000  0.000  9.662     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
y6  0.000  0.000  0.000  0.000  0.000  1876.655   0.000  0.000    0.000  0.0  0.0  0.0  0.0
y7  0.000  0.000  0.000  0.000  0.000     0.000  44.938  0.000    0.000  0.0  0.0  0.0  0.0
y8  0.000  0.000  0.000  0.000  0.000     0.000   0.000  3.095    0.000  0.0  0.0  0.0  0.0
y9  0.000  0.000  0.000  0.000  0.000     0.000   0.000  0.000  563.629  0.0  0.0  0.0  0.0
x1  0.000  0.000  0.000  0.000  0.000     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
x2  0.000  0.000  0.000  0.000  0.000     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
x3  0.000  0.000  0.000  0.000  0.000     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
x4  0.000  0.000  0.000  0.000  0.000     0.000   0.000  0.000    0.000  0.0  0.0  0.0  0.0
