	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
VIR0002	8	32	22	22	13	3	5	3	3	7	9	9	5	7	5	2	2	56	23	9.3	14.3	56	78	9.7	7	20	9	3	14	135
VIR0003	8	33	34	10	14	3	7	1	3	7	9	9	5	7	5	2	2	53	25	8.6	7.7	24	36	4.6	7	19	9	3	10	155
VIR0004	8	32	21	24	11	3	7	5	3	7	9	5	5	1	5	2	1	56	13	13.7	18.2	70	110	13.2	7	19	8	3	14	140
VIR0005	7	37	24	18	13	3	5	5	3	7	9	9	5	7	5	1	2	51	20	18	18.2	53	79	11.7	7	18	9	3	10	150
VIR0021	8	39	14	27	14	1	3	5	7	3	7	5	5	1	5	2	2	65	27	32.5	32.3	46	50	17.4	5	26	14	3	1	445
VIR0023	8	39	27	14	14	1	3	5	7	3	9	5	5	1	5	2	2	70	26	48.6	32.3	50	58	16.6	5	25	13	3	1	405
VIR0024	8	39	16	25	14	1	3	5	7	3	7	9	7	7	7	2	1	65	19	36.9	62	64	63	23.9	5	25	15	3	1	440
VIR0025	8	40	27	15	14	2	3	5	5	3	5	9	7	1	7	1	1	47	17	8.9	13.2	79	60	6.8	7	18	10	3	4	115
VIR0026	8	42	25	12	10	1	3	5	5	3	9	5	5	1	5	2	2	55	20	14.4	29.1	106	140	19.6	7	20	10	5	1	170
VIR0027	8	39	21	18	11	1	3	5	5	3	7	7	5	1	5	2	2	40	17	3.9	7.7	47	62	5.2	7	20	10	3	2	95
VIR0028	8	38	22	18	12	1	3	3	5	3	5	7	5	7	5	1	1	46	23	8.1	10.2	70	95	10.2	7	19	9	3	1	115
VIR0030	8	35	25	18	12	1	3	3	5	3	7	9	5	7	5	1	1	43	14	5.6	14.1	92	75	5.1	7	19	8	7	9	90
VIR0031	8	33	22	24	11	1	3	3	5	3	5	9	3	7	5	1	1	42	22	4.7	5.7	47	41	4.5	7	18	9	3	10	140
VIR0033	8	39	21	18	12	3	5	5	3	7	5	5	3	1	5	1	1	35	17	2.8	4.4	26	34	3.8	7	16	8	3	10	125
VIR0034	8	35	25	18	13	3	5	5	3	7	5	5	3	1	5	1	2	50	20	8.5	31.4	104	59	6.1	7	20	10	3	11	160
VIR0036	8	39	28	12	12	1	3	5	5	3	9	9	3	7	5	1	2	55	20	20.6	25.3	93	113	17.5	7	19	9	5	1	165
VIR0037	8	35	25	18	12	3	7	3	3	3	3	9	5	1	5	1	2	40	19	2.8	7	31	44	3.3	7	19	10	3	10	115
VIR0038	8	36	18	25	13	3	7	5	5	7	9	9	7	7	5	2	2	60	21	11	27.6	82	88	15.3	7	20	10	3	10	185
VIR0039	8	35	18	21	7	3	5	5	3	7	5	9	5	1	5	2	1	40	17	2.6	8.2	43	48	4.1	7	20	9	3	10	125
VIR0040	8	41	32	9	13	3	5	5	3	7	9	7	3	1	5	2	1	70	30	25.5	5.8	52	45	6.9	7	19	10	3	11	170
VIR0041	8	41	29	11	14	3	5	5	3	7	9	7	3	1	5	1	2	58	30	12.2	9.6	44	52	8.7	7	18	8	3	11	180
VIR0042	8	37	18	23	11	3	5	3	3	7	5	7	3	7	5	1	1	45	19	5.7	10	47	65	7.6	7	18	9	3	10	150
VIR0043	8	39	15	24	11	3	7	3	3	7	5	9	5	7	5	2	1	37	15	3.1	9.5	44	50	6.3	7	17	9	3	10	155
VIR0111	9	26	7	32	9	3	7	3	5	3	9	9	5	7	5	1	2	55	23	22.8	27.4	56	71	18.4	7	22	11	5	1	305
VIR0125	8	38	16	28	11	1	3	3	5	3	5	7	5	1	5	1	2	53	26	23	13	39	23	7.2	7	23	12	3	1	305
VIR0143	8	38	16	26	12	1	3	3	5	3	5	9	3	7	5	1	2	55	20	10.4	19.8	61	55	10.5	7	22	11	3	1	240
VIR0167	8	39	24	16	12	1	3	3	7	3	9	7	5	1	5	1	2	55	27	14.3	13.1	33	32	9.9	7	26	13	5	1	350
VIR0172	8	32	21	23	14	3	7	3	3	7	7	9	5	7	5	2	1	53	27	6.8	12.5	61	72	5.9	7	19	9	3	13	145
VIR0187	8	32	20	27	15	3	3	3	7	3	5	9	5	7	5	1	2	56	27	21.6	7.9	35	26	7	5	25	15	3	9	340
VIR0189	9	28	24	7	15	1	3	3	5	3	7	9	5	7	5	1	1	60	23	34.8	17.7	54	41	9.7	7	24	13	3	1	280
VE0111_0192	8	38	16	26	15	3	3	3	3	7	9	9	5	7	7	2	2	25	35	30.9	12.2	60	89	10.4	7	18	8	3	10	145
VIR0196	8	32	22	23	16	2	5	5	5	7	7	9	3	7	7	2	1	66	27	13.6	22.7	90	113	14.1	7	20	10	3	13	170
VIR0199	8	40	15	23	16	3	7	7	7	7	9	9	3	7	7	1	1	60	25	12.2	3.3	22	25	5.1	7	20	11	3	14	230
VIR0201	8	39	15	27	15	1	3	3	5	3	7	9	3	7	7	1	1	55	27	17.2	20.7	64	62	12.2	7	21	11	3	1	250
VIR0202	8	39	14	26	16	2	3	5	5	3	7	9	3	7	5	1	2	66	23	12.4	24.2	58	53	7.9	7	20	10	3	11	150
VIR0203	8	35	19	20	7	1	3	5	5	3	7	7	5	1	5	1	2	50	21	7.9	7.1	42	35	3.5	7	20	10	3	1	130
VIR0204	8	38	17	24	15	1	3	5	5	3	7	9	5	7	5	1	1	50	22	11.5	9.8	51	49	4.4	7	20	10	3	1	115
VIR0205	8	37	17	25	14	1	3	5	5	3	7	9	3	7	5	2	2	60	25	10.1	18.9	63	45	5.9	7	20	10	3	1	105
VIR0206	8	38	17	25	14	1	3	3	5	3	5	9	3	7	5	2	1	50	23	10.6	8.7	39	41	4.3	7	20	10	3	1	130
VIR0207	8	38	16	26	14	1	3	3	5	3	5	9	3	7	5	1	2	60	20	18.2	31.6	153	131	15.4	7	20	9	5	1	145
VIR0208	8	36	18	26	14	1	3	5	5	3	5	9	3	7	5	1	1	60	18	10.7	15.1	105	82	9.3	7	20	10	5	1	145
VIR0209	8	39	16	25	16	2	3	5	5	3	7	9	3	7	7	1	1	70	30	22.2	36.5	120	130	22.1	7	20	10	3	11	225
