Seed1000WSNP2	0.193	0.035	5.501	0.000
Seed1000WSNP3	0.545	0.059	9.273	0.000
Seed1000WSNP4	0.304	0.068	4.448	0.000
SeedColSNP2	-0.277	0.053	-5.271	0.000
SeedColSNP3	0.387	0.126	3.081	0.002
SeedShapeSNP3	0.212	0.068	3.131	0.002
SeedShapeSNP4	0.137	0.048	2.822	0.005
SeedShapeSNP5	0.309	0.057	5.443	0.000
PodWidthSNP1	-0.247	0.035	-6.982	0.000
PodWidthSNP2	0.157	0.041	3.791	0.000
PodLengthSNP2	0.194	0.043	4.566	0.000
PodShapeSNP2	-0.364	0.086	-4.241	0.000
PodShapeSNP4	0.584	0.085	6.846	0.000
SeedsWeghtSNP1	0.088	0.022	4.027	0.000
SeedsNumbrSNP3	0.188	0.050	3.723	0.000
SeedsNumbrSNP4	-0.232	0.033	-7.059	0.000
PodsNumberSNP2	-0.124	0.029	-4.290	0.000
PodsWeightSNP2	0.126	0.027	4.677	0.000
NoPodsWghtSNP1	-0.092	0.039	-2.346	0.019
NoPodsWghtSNP2	0.263	0.043	6.072	0.000
HlpSNP1	-0.189	0.045	-4.208	0.000
HlpSNP3	0.331	0.103	3.213	0.001
HeightSNP2	-0.117	0.051	-2.284	0.022
PodSSNP2	-0.185	0.087	-2.120	0.034
PodDSNP3	0.229	0.077	2.960	0.003
PodDSNP4	0.200	0.062	3.231	0.001
StemBr2ordSNP4	-0.175	0.050	-3.487	0.000
StemBr1ordSNP2	-0.201	0.059	-3.389	0.001
StemBr1ordSNP3	0.328	0.062	5.304	0.000
StemBr1ordSNP5	0.246	0.058	4.241	0.000
StemL1ordSNP2	0.320	0.047	6.787	0.000
StemBrSNP1	-0.554	0.114	-4.860	0.000
AscoResSNP1	-0.439	0.092	-4.768	0.000
AscoResSNP4	0.372	0.101	3.674	0.000
FlowStemClSNP1	0.177	0.060	2.964	0.003
LeafSizeSNP1	0.194	0.042	4.564	0.000
LeafSizeSNP5	-0.288	0.076		0.000
BushShapeSNP2	-0.113	0.034	-3.355	0.001
BushShapeSNP4	0.410	0.118	3.488	0.000
StemColSNP1	-0.135	0.078	-1.724	0.085
FloColSNP2	-0.181	0.068	-2.671	0.008
FloColSNP3	-0.248	0.046	-5.432	0.000
FloColSNP5	0.155	0.041	3.818	0.000
BegMEndMSNP1	0.255	0.056	4.541	0.000
BegMEndMSNP5	0.203	0.059	3.414	0.001
EndFBegMSNP1	0.040	0.019	2.071	0.038
BegFEndFSNP4	-0.119	0.049	-2.430	0.015
GBegFSNP1	-0.436	0.084	-5.175	0.000
GermSNP1	0.268	0.049	5.495	0.000
PC1SNP3	0.427	0.131	3.267	0.001
PC1SNP4	-0.222	0.121	-1.835	0.067
PC1SNP5	-0.296	0.038	-7.736	0.000
PC2SNP1	-0.380	0.072	-5.261	0.000
PC4SNP1	-0.013	0.009	-1.342	0.180
PC5SNP4	-0.181	0.043	-4.188	0.000
PC7SNP5	-0.640	0.076	-8.462	0.000
PC8SNP3	-0.030	0.016	-1.885	0.059
PC8SNP5	-0.037	0.019	-1.958	0.050
