lhs op rhs est
1 PC1 =~ FloCol 1
2 PC1 =~ StemCol 0.999311843607773
3 PC1 =~ LeafSize -0.77795907289144
4 PC1 =~ FlowStemCol 1.02570900360133
5 PC1 =~ NoPodsWeight -0.761100063940552
6 PC1 =~ PodLength -0.917872775225187
7 PC1 =~ PodWidth -0.950529413141881
8 PC1 =~ SeedCol 0.938916111527956
9 PC1 =~ Seed1000W -0.954969066767571
10 PC2 =~ PodsWeight 1
11 PC2 =~ PodsNumber 0.958506432666448
12 PC2 =~ SeedsNumber 0.864950774500317
13 PC2 =~ SeedsWeight 1.08303578753563
14 PC4 =~ Germ 1
15 PC4 =~ BushShape 0.214517094621021
16 PC4 =~ AscoRes -2.82547872702397
17 PC4 =~ StemBr 1.68205798352845
18 PC4 =~ Height -12.4063281577058
19 PC4 =~ Hlp -4.24591438869166
20 PC4 =~ SeedShape -0.108206135098914
21 PC5 =~ BegFEndF 1
22 PC5 =~ StemBr -0.221312813071901
23 PC5 =~ StemBr1ord -0.180794538501658
24 PC5 =~ StemBr2ord -0.098818345385781
25 PC5 =~ EndFBegM -1.28654273448264
26 PC7 =~ GBegF 1
27 PC7 =~ BegMEndM 0.494212731618465
28 PC7 =~ StemBr 0.712491422603304
29 PC7 =~ PodD 0.158982744668803
30 PC8 =~ BegMEndM 1
31 PC8 =~ StemL1ord 2.12908201334965
32 PC8 =~ PodS 2.06377037458539
33 PC8 =~ PodShape -4.37090546120091
34 PC7 ~ PC2 0.10482137737307
35 PC4 ~ PC8 -0.441497329981902
36 PC5 ~ PC1 0.674589469792811
37 PC5 ~ PC8 3.46141852546511
38 PC1 ~ PC2 0.190630353975289
39 PC1 ~ PC8 -8.06665530563744
40 PC8 ~ PC2 0.0554127616503126
41 PC1 ~ snp13 0.414845895246133
42 PC1 ~ snp14 -0.20446031360339
43 PC1 ~ snp15 -0.238253718989958
44 PC2 ~ snp21 -0.269252682685898
45 PC2 ~ snp25 0.108891625420409
46 PC5 ~ snp54 -0.224157858870841
47 PC5 ~ snp55 -0.140282540472749
48 PC7 ~ snp71 -0.193359430399149
49 PC7 ~ snp75 -0.612027803648612
50 PC8 ~ snp81 0.0147794574133875
51 PC8 ~ snp82 0.022863655935945
52 PC8 ~ snp84 -0.02181443146348
53 PC8 ~ snp85 -0.0348624451092556
54 FloCol ~ snp_FloCol_1 0.0996033251943915
55 FlowStemCol ~ snp_FlowStemCol_2 0.185421622660878
56 NoPodsWeight ~ snp_NoPodsWeight_1 -0.146549140820008
57 PodS ~ snp_PodS_1 -0.185541544321837
58 FloCol ~~ FloCol 0.285731354130164
59 StemCol ~~ StemCol 0.333366773458901
60 LeafSize ~~ LeafSize 0.595009250791346
61 FlowStemCol ~~ FlowStemCol 0.291230524661379
62 NoPodsWeight ~~ NoPodsWeight 0.568716159484336
63 PodLength ~~ PodLength 0.437207569968912
64 PodWidth ~~ PodWidth 0.396627706249706
