lhs op rhs est
1 PC1 =~ FloCol 1
2 PC1 =~ StemCol 0.965097225157943
3 PC1 =~ LeafSize -0.733091440409126
4 PC1 =~ FlowStemCol 0.992593688676083
5 PC1 =~ NoPodsWeight -0.725350214868975
6 PC1 =~ PodLength -0.846655570116342
7 PC1 =~ PodWidth -0.875144639766908
8 PC1 =~ SeedCol 0.905693108125906
9 PC1 =~ Seed1000W -0.871611225510218
10 PC2 =~ PodsWeight 1
11 PC2 =~ PodsNumber 0.950487848008049
12 PC2 =~ SeedsNumber 0.854794060195724
13 PC2 =~ SeedsWeight 1.08555024379554
14 PC4 =~ Germ 1
15 PC4 =~ BushShape -0.0277427005983767
16 PC4 =~ AscoRes -2.37500624247458
17 PC4 =~ StemBr 0.613253575970243
18 PC4 =~ Height -21.3635435195917
19 PC4 =~ Hlp -3.67619806027789
20 PC4 =~ SeedShape 0.528910991105636
21 PC5 =~ BegFEndF 1
22 PC5 =~ StemBr 0.00960551056936417
23 PC5 =~ StemBr1ord -0.0456416220745901
24 PC5 =~ StemBr2ord -0.0295493410828752
25 PC5 =~ EndFBegM -7.46417095597361
26 PC7 =~ GBegF 1
27 PC7 =~ BegMEndM 0.128621808366755
28 PC7 =~ StemBr 0.0874037384848074
29 PC7 =~ PodD 0.030035589017422
30 PC8 =~ BegMEndM 1
31 PC8 =~ StemL1ord 2.12812515738317
32 PC8 =~ PodS 2.143003254687
33 PC8 =~ PodShape -4.16398274218078
34 PC7 ~ PC2 0.182285253150601
35 PC4 ~ PC8 -0.243538064121398
36 PC5 ~ PC1 0.039042864576319
37 PC5 ~ PC8 0.229770864898621
38 PC1 ~ PC2 0.387862407213664
39 PC1 ~ PC8 -10.3494133852754
40 PC8 ~ PC2 0.0727164987618626
41 FloCol ~~ FloCol 0.2552383836345
42 StemCol ~~ StemCol 0.306197422575358
43 LeafSize ~~ LeafSize 0.59863023784418
44 FlowStemCol ~~ FlowStemCol 0.266243464379939
45 NoPodsWeight ~~ NoPodsWeight 0.607010147664456
46 PodLength ~~ PodLength 0.465470920846439
47 PodWidth ~~ PodWidth 0.429062631129523
48 SeedCol ~~ SeedCol 0.388683845398163
49 Seed1000W ~~ Seed1000W 0.433643709215663
50 PodsWeight ~~ PodsWeight 0.203844726134451
51 PodsNumber ~~ PodsNumber 0.280495425807381
52 SeedsNumber ~~ SeedsNumber 0.417606031120155
53 SeedsWeight ~~ SeedsWeight 0.062240440449654
54 Germ ~~ Germ 0.991644795811347
55 BushShape ~~ BushShape 0.997522134323513
56 AscoRes ~~ AscoRes 0.966446803861127
57 StemBr ~~ StemBr 0.988593284918503
58 Height ~~ Height -1.5179593033446
59 Hlp ~~ Hlp 0.923070619714692
60 SeedShape ~~ SeedShape 0.995983374562327
61 BegFEndF ~~ BegFEndF 0.88802191355462
62 StemBr1ord ~~ StemBr1ord 0.997298403679453
63 StemBr2ord ~~ StemBr2ord 0.997430903614475
64 EndFBegM ~~ EndFBegM -5.11136937588221
65 GBegF ~~ GBegF -0.0424003620402328
66 BegMEndM ~~ BegMEndM 0.959246384546106
67 PodD ~~ PodD 0.996587414864233
68 StemL1ord ~~ StemL1ord 0.946389262692309
69 PodS ~~ PodS 0.945669057798871
70 PodShape ~~ PodShape 0.801749940785622
71 PC1 ~~ PC1 -0.123052295738514
72 PC2 ~~ PC2 0.793673594010816
73 PC4 ~~ PC4 0.00486094667017035
74 PC5 ~~ PC5 0.109846579555536
75 PC7 ~~ PC7 1.01713913306229
76 PC8 ~~ PC8 0.00709310588267064
77 PC4 ~~ PC5 0.000573091383840684
78 PC4 ~~ PC7 0.0014687812648592
79 PC5 ~~ PC7 0.0313153185191937
